City,City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,0,Katsuura,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
1,1,Bourg-En-Bresse,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
2,2,Florenville,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
3,3,Ligayan,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
4,4,Cape Town,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
5,5,Acarau,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
6,6,East London,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
7,7,Boysun,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
8,8,Mataura,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
9,9,Ushuaia,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
10,10,Dunedin,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
11,11,Grindavik,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
12,12,Arauca,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
13,13,Taolanaro,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
14,14,La Tuque,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
15,15,Ugoofaaru,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
16,16,Bargal,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
17,17,Mys Shmidta,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
18,18,Acapulco,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
19,19,Upernavik,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
20,20,Kalmunai,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
21,21,Hilo,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
22,22,Busselton,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
23,23,Arraial Do Cabo,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
24,24,Pioner,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
25,25,Castro,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
26,26,Kyren,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
27,27,Akhtanizovskaya,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
28,28,Anloga,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
29,29,Albany,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
30,30,Bredasdorp,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
31,31,Nemuro,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
32,32,New Norfolk,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
33,33,Carnarvon,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
34,34,Aklavik,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
35,35,Samusu,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
36,36,Moroni,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
37,37,Naze,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
38,38,Grand Centre,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
39,39,Hamilton,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
40,40,Karaul,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
41,41,Kavieng,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
42,42,Padang,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
43,43,Sri Aman,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
44,44,Havre-Saint-Pierre,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
45,45,Pithoragarh,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
46,46,Port Lincoln,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
47,47,Tupang,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
48,48,Saldanha,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
49,49,Galle,PF,77.23,clear sky,-23.1203,-134.9692,Pension Maro'i
50,50,Pisco,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
51,51,Chukhloma,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
52,52,Satitoa,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
53,53,Fuerte Olimpo,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
54,54,Vaini,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
55,55,Soligalich,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
56,56,Rikitea,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
57,57,Torbay,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
58,58,Gallipoli,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
59,59,Leshukonskoye,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
60,60,Kahului,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
61,61,Hithadhoo,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
62,62,Salisbury,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
63,63,Sur,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
64,64,Fortuna,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
