City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,76.1,62,29,0.58,PF,2021-04-08 15:24:27
1,Kapaa,22.0752,-159.319,71.6,56,20,20.71,US,2021-04-08 15:24:28
2,Vaini,-21.2,-175.2,68.0,94,40,2.3,TO,2021-04-08 15:24:28
3,Busselton,-33.65,115.3333,54.0,86,0,14.27,AU,2021-04-08 15:27:54
4,Port Alfred,-33.5906,26.891,70.95,77,26,9.1,ZA,2021-04-08 15:27:55
5,Talnakh,69.4865,88.3972,6.01,86,97,1.34,RU,2021-04-08 15:24:10
6,Esperance,-33.8667,121.9,62.6,82,40,8.05,AU,2021-04-08 15:27:55
7,Vanavara,60.34,102.2797,28.17,85,100,8.79,RU,2021-04-08 15:27:56
8,Tuktoyaktuk,69.4541,-133.0374,-20.2,76,20,4.61,CA,2021-04-08 15:27:24
9,Albany,42.6001,-73.9662,64.0,39,8,4.81,US,2021-04-08 15:27:56
10,Kendari,-3.945,122.4989,76.24,90,97,2.3,ID,2021-04-08 15:24:31
11,Mataura,-46.1927,168.8643,44.01,95,2,1.99,NZ,2021-04-08 15:24:31
12,Oranjestad,12.524,-70.027,84.2,65,20,21.85,AW,2021-04-08 15:24:32
13,New Norfolk,-42.7826,147.0587,55.0,64,100,3.0,AU,2021-04-08 15:24:32
14,Touros,-5.1989,-35.4608,87.8,58,75,21.85,BR,2021-04-08 15:24:33
15,Punta Arenas,-53.15,-70.9167,44.6,70,75,19.57,CL,2021-04-08 15:22:10
16,Svetlogorsk,52.6333,29.7333,41.79,58,100,14.54,BY,2021-04-08 15:24:33
17,Port Lincoln,-34.7333,135.8667,63.77,78,100,17.22,AU,2021-04-08 15:24:34
18,Jamestown,42.097,-79.2353,72.0,46,1,9.22,US,2021-04-08 15:20:59
19,Mar Del Plata,-38.0023,-57.5575,68.0,94,90,9.22,AR,2021-04-08 15:22:00
20,Vardo,70.3705,31.1107,33.8,80,75,8.05,NO,2021-04-08 15:24:34
21,Hobart,-42.8794,147.3294,55.4,71,75,18.41,AU,2021-04-08 15:21:57
22,Hambantota,6.1241,81.1185,77.0,100,8,5.75,LK,2021-04-08 15:21:56
23,Vikhorevka,56.1201,101.1636,33.8,80,100,4.47,RU,2021-04-08 15:24:35
24,Mardin,37.3131,40.7436,82.4,18,40,9.22,TR,2021-04-08 15:19:36
25,Hualmay,-11.0964,-77.6139,72.34,80,86,6.35,PE,2021-04-08 15:24:36
26,Korla,41.7597,86.1469,56.82,44,100,3.02,CN,2021-04-08 15:24:36
27,Ushuaia,-54.8,-68.3,42.8,70,75,20.71,AR,2021-04-08 15:21:33
28,Lavrentiya,65.5833,-171.0,-19.84,92,6,6.38,RU,2021-04-08 15:24:37
29,Ketchikan,55.3422,-131.6461,32.0,93,90,4.61,US,2021-04-08 15:24:37
30,San Patricio,28.017,-97.5169,80.6,74,1,7.43,US,2021-04-08 15:24:38
31,Atuona,-9.8,-139.0333,80.92,70,28,15.05,PF,2021-04-08 15:24:38
32,Manadhoo,5.7667,73.3833,82.45,74,28,7.56,MV,2021-04-08 15:24:39
33,Faanui,-16.4833,-151.75,81.32,68,15,11.5,PF,2021-04-08 15:24:39
34,Santa Cruz,-17.8,-63.1667,84.2,69,75,16.11,BO,2021-04-08 15:19:51
35,Kaitangata,-46.2817,169.8464,48.99,94,0,1.99,NZ,2021-04-08 15:24:40
36,Mahajanga,-15.7167,46.3167,86.0,74,20,3.44,MG,2021-04-08 15:24:40
37,Tura,25.5198,90.2201,78.4,41,28,4.16,IN,2021-04-08 15:24:41
38,Otavi,-19.65,17.3333,77.47,41,86,9.37,NA,2021-04-08 15:24:41
39,Georgetown,5.4112,100.3354,86.0,74,20,5.75,MY,2021-04-08 15:22:06
40,Neepawa,50.2289,-99.4664,46.4,39,20,6.91,CA,2021-04-08 15:24:42
41,Chuy,-33.6971,-53.4616,77.74,61,99,10.11,UY,2021-04-08 15:23:16
42,Madras,13.0878,80.2785,82.4,74,20,5.75,IN,2021-04-08 15:24:42
43,Cayenne,4.9333,-52.3333,80.6,83,90,4.61,GF,2021-04-08 15:24:43
44,Codrington,-38.2667,141.9667,58.71,79,100,17.18,AU,2021-04-08 15:24:43
45,Cape Town,-33.9258,18.4232,73.0,64,0,17.27,ZA,2021-04-08 15:19:58
46,Mandalgovi,45.7625,106.2708,49.14,20,94,10.18,MN,2021-04-08 15:24:44
47,Mikhaylovka,50.06,43.2379,50.0,55,100,7.0,RU,2021-04-08 15:24:44
48,May Pen,17.9645,-77.2451,84.99,70,20,5.75,JM,2021-04-08 15:24:44
49,Butaritari,3.0707,172.7902,81.54,79,49,17.56,KI,2021-04-08 15:24:45
50,Conceicao Do Araguaia,-8.2578,-49.2647,88.61,56,54,4.5,BR,2021-04-08 15:24:45
51,Padang,-0.9492,100.3543,78.8,89,40,1.14,ID,2021-04-08 15:24:46
52,Tasiilaq,65.6145,-37.6368,19.4,63,20,4.61,GL,2021-04-08 15:24:46
53,Kulykiv,50.3142,24.8176,46.0,74,99,8.99,UA,2021-04-08 15:24:47
54,Hilo,19.7297,-155.09,66.2,88,90,9.22,US,2021-04-08 15:22:40
55,Ust-Tsilma,65.441,52.1498,41.56,86,100,15.82,RU,2021-04-08 15:22:08
56,Puerto Escondido,15.85,-97.0667,86.0,79,1,3.89,MX,2021-04-08 15:24:47
57,Fort Collins,40.5853,-105.0844,55.0,40,1,4.61,US,2021-04-08 15:23:33
58,Kavieng,-2.5744,150.7967,78.04,89,100,9.84,PG,2021-04-08 15:24:48
59,Aasiaat,68.7098,-52.8699,24.22,86,100,8.01,GL,2021-04-08 15:24:48
60,Hithadhoo,-0.6,73.0833,83.89,66,24,14.99,MV,2021-04-08 15:21:46
61,Teguldet,57.3064,88.1667,27.84,96,34,3.83,RU,2021-04-08 15:24:49
62,Nikolskoye,59.7035,30.7861,39.2,65,40,15.66,RU,2021-04-08 15:24:49
63,Torbay,47.6666,-52.7314,42.01,100,90,13.8,CA,2021-04-08 15:24:49
64,Fortuna,40.5982,-124.1573,46.99,81,20,3.44,US,2021-04-08 15:24:16
65,Tsaratanana,-16.7833,47.65,77.97,68,60,7.92,MG,2021-04-08 15:24:50
66,Meulaboh,4.1363,96.1285,78.76,83,90,2.44,ID,2021-04-08 15:24:50
67,Bluff,-46.6,168.3333,44.01,95,46,1.99,NZ,2021-04-08 15:24:51
68,Saint Marys,30.7305,-81.5465,78.01,41,1,11.5,US,2021-04-08 15:24:51
69,Bethel,41.3712,-73.414,66.0,45,1,3.44,US,2021-04-08 15:24:51
70,Arica,-18.475,-70.3042,68.0,77,90,4.61,CL,2021-04-08 15:21:51
71,Matata,-37.8833,176.75,59.0,100,100,1.01,NZ,2021-04-08 15:24:52
72,Saskylakh,71.9167,114.0833,-6.59,99,100,7.2,RU,2021-04-08 15:22:27
73,Ribeira Grande,38.5167,-28.7,64.4,68,40,21.85,PT,2021-04-08 15:24:53
74,Kununurra,-15.7667,128.7333,75.2,83,40,3.44,AU,2021-04-08 15:24:53
75,Saint-Pierre,-21.3393,55.4781,82.4,69,75,5.35,RE,2021-04-08 15:24:09
76,Nandu,22.8525,110.8233,69.33,82,99,5.19,CN,2021-04-08 15:24:54
77,Roald,62.5833,6.1333,35.01,100,90,18.41,NO,2021-04-08 15:24:54
78,Almaznyy,48.0448,40.045,48.2,53,40,15.66,RU,2021-04-08 15:24:54
79,Gavle,60.6745,17.1417,46.99,21,100,10.0,SE,2021-04-08 15:24:55
80,Batticaloa,7.7102,81.6924,80.94,71,60,7.67,LK,2021-04-08 15:24:55
81,Airai,-8.9266,125.4092,59.97,91,35,0.83,TL,2021-04-08 15:24:56
82,Kumluca,36.3703,30.2869,66.15,67,40,8.88,TR,2021-04-08 15:24:56
83,Hermanus,-34.4187,19.2345,72.0,70,8,1.99,ZA,2021-04-08 15:24:56
84,Okha,53.5739,142.9478,21.07,88,100,16.93,RU,2021-04-08 15:24:57
85,Omsukchan,62.5333,155.8,-11.79,99,51,3.76,RU,2021-04-08 15:24:57
86,Ponta Do Sol,32.6667,-17.1,64.0,74,56,3.0,PT,2021-04-08 15:24:57
87,Elko,41.0002,-115.5012,46.99,36,16,13.0,US,2021-04-08 15:24:58
88,Yellowknife,62.456,-114.3525,1.4,78,75,17.27,CA,2021-04-08 15:24:58
89,Puerto Ayora,-0.7393,-90.3518,82.4,74,0,6.91,EC,2021-04-08 15:24:59
90,Tarnogskiy Gorodok,60.4997,43.5761,39.13,93,100,15.01,RU,2021-04-08 15:24:59
91,Qaanaaq,77.484,-69.3632,9.7,68,100,5.26,GL,2021-04-08 15:25:00
92,Altay,47.8667,88.1167,42.87,53,0,6.82,CN,2021-04-08 15:25:00
93,Souillac,-20.5167,57.5167,80.6,74,75,6.91,MU,2021-04-08 15:25:01
94,Saint-Philippe,-21.3585,55.7679,82.4,69,75,11.3,RE,2021-04-08 15:25:01
95,Alice Springs,-23.7,133.8833,64.4,48,3,3.44,AU,2021-04-08 15:25:01
96,Kodiak,57.79,-152.4072,33.8,80,75,11.5,US,2021-04-08 15:25:02
97,Lebu,-37.6167,-73.65,55.67,93,97,5.97,CL,2021-04-08 15:25:02
98,Avarua,-21.2078,-159.775,77.0,88,90,6.91,CK,2021-04-08 15:22:46
99,Miri,4.4148,114.0089,78.8,89,20,2.3,MY,2021-04-08 15:21:53
100,Muros,42.7762,-9.0603,63.0,68,9,10.49,ES,2021-04-08 15:25:03
101,Kahului,20.8947,-156.47,68.0,77,1,6.91,US,2021-04-08 15:25:04
102,Honiara,-9.4333,159.95,76.6,87,100,2.44,SB,2021-04-08 15:25:04
103,Arlit,18.7369,7.3853,104.23,3,97,8.93,NE,2021-04-08 15:25:05
104,Humberto De Campos,-2.5983,-43.4611,88.21,57,96,9.19,BR,2021-04-08 15:25:05
105,Kalabagh,32.965,71.557,76.44,28,91,5.23,PK,2021-04-08 15:25:06
106,Surskoye,54.4821,46.7214,41.65,78,100,13.2,RU,2021-04-08 15:25:06
107,Thompson,55.7435,-97.8558,42.8,52,40,5.75,CA,2021-04-08 15:21:52
108,Ostrovnoy,68.0531,39.5131,33.17,98,100,9.42,RU,2021-04-08 15:25:07
109,Henties Bay,-22.116,14.2845,70.5,66,2,11.25,NA,2021-04-08 15:25:07
110,Dikson,73.5069,80.5464,6.12,82,100,12.62,RU,2021-04-08 15:21:51
111,Victoria,22.2855,114.1577,73.99,78,100,4.0,HK,2021-04-08 15:22:15
112,Norman Wells,65.282,-126.8329,-7.6,77,40,10.36,CA,2021-04-08 15:25:08
113,Namatanai,-3.6667,152.4333,77.79,86,100,8.77,PG,2021-04-08 15:25:08
114,Troitskoye,52.9821,84.6757,30.15,97,85,3.91,RU,2021-04-08 15:25:09
115,Arraial Do Cabo,-22.9661,-42.0278,77.0,73,75,8.05,BR,2021-04-08 15:21:23
116,Longyearbyen,78.2186,15.6401,28.4,93,75,12.66,SJ,2021-04-08 15:23:56
117,Kruisfontein,-34.0033,24.7314,69.01,77,14,3.0,ZA,2021-04-08 15:25:09
118,Roros,62.5747,11.3842,30.2,40,40,12.66,NO,2021-04-08 15:25:10
119,Constitucion,-35.3333,-72.4167,61.99,58,2,3.89,CL,2021-04-08 15:25:10
120,San Bartolome,27.9248,-15.5733,72.0,73,75,5.75,ES,2021-04-08 15:25:11
121,Taltal,-25.4,-70.4833,69.96,71,100,7.16,CL,2021-04-08 15:25:11
122,Zhigansk,66.7697,123.3711,15.98,95,100,12.77,RU,2021-04-08 15:25:12
123,Bredasdorp,-34.5322,20.0403,71.6,60,8,6.91,ZA,2021-04-08 15:24:31
124,Hofn,64.2539,-15.2082,28.4,40,20,25.32,IS,2021-04-08 15:25:12
125,Bengkulu,-3.8004,102.2655,76.87,90,95,6.08,ID,2021-04-08 15:25:13
126,Shirvan,39.9509,48.8994,73.67,50,29,9.95,AZ,2021-04-08 15:25:13
127,Khatanga,71.9667,102.5,-20.99,100,28,3.98,RU,2021-04-08 15:22:09
128,Saint George,37.1041,-113.5841,55.4,22,1,3.44,US,2021-04-08 15:25:14
129,Yumen,40.2833,97.2,52.93,29,100,9.95,CN,2021-04-08 15:24:35
130,Marzuq,14.4,46.4667,78.21,25,6,12.77,YE,2021-04-08 15:25:14
131,Grand Gaube,-20.0064,57.6608,81.0,73,41,5.01,MU,2021-04-08 15:25:15
132,Castro,-24.7911,-50.0119,71.02,63,38,10.89,BR,2021-04-08 15:25:15
133,Port Elizabeth,-33.918,25.5701,69.8,78,0,9.22,ZA,2021-04-08 15:21:42
134,Rocha,-34.4833,-54.3333,79.63,57,55,12.24,UY,2021-04-08 15:21:26
135,Jizan,17.3333,42.6667,87.8,55,15,10.36,SA,2021-04-08 15:25:16
136,Coahuayana,18.7333,-103.6833,75.2,43,1,1.05,MX,2021-04-08 15:25:17
137,Galle,6.0367,80.217,80.28,75,9,5.84,LK,2021-04-08 15:25:17
138,Siderno,38.2779,16.302,57.2,38,1,14.97,IT,2021-04-08 15:25:18
139,Shestakovo,56.4915,103.96,33.08,92,100,5.12,RU,2021-04-08 15:25:18
140,Tuatapere,-46.1333,167.6833,44.01,95,29,1.99,NZ,2021-04-08 15:22:21
141,Makasar,-5.14,119.4221,73.4,100,20,4.61,ID,2021-04-08 15:25:19
142,Nakhon Thai,17.1006,100.8374,86.0,79,0,5.75,TH,2021-04-08 15:25:19
143,Ewa Beach,21.3156,-158.0072,69.8,68,1,9.22,US,2021-04-08 15:25:20
144,Verkhniye Sergi,56.6469,59.5556,33.28,99,100,1.41,RU,2021-04-08 15:25:20
145,Abu Dhabi,24.4667,54.3667,80.6,50,0,9.22,AE,2021-04-08 15:25:21
146,Novoukrainskiy,44.8969,38.0522,42.01,75,75,20.13,RU,2021-04-08 15:25:21
147,Sibiti,-3.6819,13.3499,80.46,78,98,5.91,CG,2021-04-08 15:25:22
148,Beloha,-25.1667,45.05,75.69,68,6,14.47,MG,2021-04-08 15:25:22
149,Berlevag,70.8578,29.0864,30.2,64,0,1.14,NO,2021-04-08 15:25:23
150,Inhambane,-23.865,35.3833,77.9,70,82,9.35,MZ,2021-04-08 15:21:09
